Ticker;Short Name;FCF T12M;Revenue T12M;Curr Liab LF;Market Cap;P/E;Total Return YTD;Revenue T12M;EPS T12M;SE End Pd LF;Total Liab LF;Tot Debt LF;EBIT T12M;EBITDA T12M;Curr Assets LF;NI / Profit T12M;Tot Assets LF;Fitch Long Term Issuer Default Rating
VOW GR Equity;VOLKSWAGEN AG;-10865000000.00;326046000000.00;226469000000.00;45903608817.77;6.40;-9.51;326046000000.00;14.85;197706006528.00;441075000000.00;254331000000.00;11183000000.00;46164000000.00;248143000000.00;7290000192.00;638781000000.00;A-
ERICB SS Equity;ERICSSON LM-B;29186000000.00;236681000000.00;110937000000.00;348857942888.88;12.16;14.46;236681000000.00;8.53;110264000512.00;168959000000.00;40264000000.00;38580000000.00;47489000000.00;143554000000.00;28427999488.00;279223000000.00;BBB-
SHEL LN Equity;SHELL PLC;21768000000.00;266886000000.00;82415000000.00;177393874272.45;13.67;14.50;266886000000.00;3.03;175320006656.00;195031000000.00;75048904412.67;27582000000.00;52881000000.00;107173000000.00;17836000256.00;370351000000.00;AA-
ORSTED DC Equity;ORSTED A/S;-30954000000.00;73244000000.00;67148000000.00;189393695491.95;36.37;17.29;73244000000.00;3.95;148940996608.00;198212847931.29;107857000000.00;8718000000.00;18913000000.00;137510000000.00;2440000000.00;367922000000.00;BBB
QLT LN Equity;QUILTER PLC;85042777.76;9364000000.00;57217000000.00;2590574643.81;20.72;0.66;9364000000.00;0.09;1408000000.00;66373000000.00;274000000.00;203777777.78;212800000.00;67229000000.00;120000000.00;64174074590.03;A-
ATCOA SS Equity;ATLAS COPCO-A;28199000000.00;168343000000.00;56006000000.00;844467485336.44;33.37;8.91;168343000000.00;5.42;110382997504.00;92071000000.00;34899000000.00;34114000000.00;43643000000.00;87018000000.00;26420000256.00;202454000000.00;A+
ENGI FP Equity;ENGIE;-9781000000.00;71944000000.00;53829000000.00;66891275849.28;16.88;18.34;71944000000.00;1.57;40830001152.00;128419000000.00;54568000000.00;7669000000.00;12342000000.00;58394000000.00;3827000064.00;169249000000.00;BBB+
ENEL IM Equity;ENEL SPA;5944000000.00;75982000000.00;45184000000.00;95109286240.89;15.25;9.30;75982000000.00;0.62;49787998208.00;147517763890.37;69141000000.00;13690000000.00;21331000000.00;36889000000.00;6382000000.00;181336000000.00;BBB+
DTE GR Equity;DEUTSCHE TELEKOM;28313000000.00;119081000000.00;36848000000.00;160203511608.11;16.89;19.20;119081000000.00;1.95;92231000064.00;197538000000.00;144757000000.00;24822000000.00;48760000000.00;41177000000.00;9609000064.00;289769000000.00;BBB+
ENI IM Equity;ENI SPA;4628000000.00;82151000000.00;36295000000.00;64272675052.66;25.92;25.28;82151000000.00;0.78;52786999296.00;84282000000.00;32877043555.87;5010000000.00;12359000000.00;48157000000.00;2608000000.00;137069000000.00;A-
MRX US Equity;MAREX GROUP PLC;1151800000.00;2024100000.00;29027000000.00;2743845315.12;9.26;0.42;2024100000.00;4.16;1183600000.00;32171716358.66;8791400000.00;397625000.00;407500000.00;32130600000.00;304600000.00;33421328886.35;BBB-
EOAN GR Equity;E.ON SE;-937000000.00;78704000000.00;28084000000.00;49339835990.07;28.64;17.64;78704000000.00;0.66;25833000960.00;84852000000.00;41367714369.32;3280000000.00;7348000000.00;22278000000.00;1734000000.00;110685000000.00;BBB+
ROG SW Equity;ROCHE HLDG-GENUS;14125000000.00;61516000000.00;28001000000.00;276982367717.40;21.72;7.10;61516000000.00;16.18;37880000512.00;62823000000.00;33191000000.00;18476000000.00;21862000000.00;38729000000.00;12880000000.00;100703000000.00;AA
AYV FP Equity;AYVENS SA;1550900000.00;25206800000.00;26460300000.00;8153264697.47;8.19;-12.33;25206800000.00;1.22;11039899648.00;64264093421.66;52329948209.03;1403300000.00;10116900000.00;15727900000.00;995800000.00;70851000000.00;BBB+
ORA FP Equity;ORANGE;3458000000.00;40397000000.00;25938000000.00;45713071233.19;142.79;23.63;40397000000.00;0.14;33154000896.00;74261000000.00;45517000000.00;3624000000.00;12173000000.00;28898000000.00;538000000.00;107415000000.00;BBB+
SKFB SS Equity;SKF AB- B SHARES;8392000000.00;91583000000.00;25757000000.00;107736880062.00;27.62;-3.01;91583000000.00;8.63;55667998720.00;50754000000.00;16513761286.34;7755000000.00;12379000000.00;54537000000.00;3927000000.00;106422000000.00;BBB+
ASML NA Equity;ASML HOLDING NV;12252900000.00;32667300000.00;24439400000.00;449630275037.86;45.09;28.89;32667300000.00;26.31;24184999936.00;31391800000.00;4451700000.00;12054000000.00;13486800000.00;30240500000.00;10212999936.00;55576800000.00;A+
AON US Equity;AON PLC-CLASS A;3218000000.00;17181000000.00;23226000000.00;72582995609.92;23.89;-3.79;17181000000.00;17.13;9548000256.00;41129000000.00;16071000000.00;4344000000.00;5528000000.00;25774000000.00;3694999936.00;50784000000.00;BBB+
DHL GR Equity;DHL GROUP;5609000000.00;82855000000.00;21410000000.00;53808501052.86;14.72;-2.27;82855000000.00;3.10;22623000576.00;48395000000.00;27441000000.00;6037000000.00;10898000000.00;20946000000.00;3501000000.00;71018000000.00;A-
WISE LN Equity;WISE PLC - A;5293300000.00;1278000000.00;20316200000.00;9154124849.10;23.62;-0.62;1278000000.00;0.37;1432400000.00;20679300000.00;130447077.69;-89000000.00;-56400000.00;21847100000.00;386600000.00;22111700000.00;BBB
RWE GR Equity;RWE AG;-4905000000.00;21535000000.00;20301000000.00;38992155233.13;16.91;16.00;21535000000.00;3.10;37668999168.00;58535000000.00;19931000000.00;129000000.00;2034000000.00;26489000000.00;2266000000.00;96204000000.00;BBB+
LHA GR Equity;DEUTSCHE LUFT-RG;410137034.12;39597000000.00;19941000000.00;9764561568.98;7.37;-2.19;39597000000.00;1.12;11420000256.00;36683000000.00;13940545707.16;1660000000.00;4142000000.00;16158000000.00;1339000000.00;48394000000.00;BBB-
RR/ LN Equity;ROLLS-ROYCE HOLD;3764000000.00;21207000000.00;19287000000.00;108949445489.73;18.60;12.17;21207000000.00;0.69;2752999936.00;35362000000.00;4272000000.00;4412000000.00;5149000000.00;23187000000.00;5840999936.00;38115000000.00;BBB+
SDR LN Equity;SCHRODERS PLC;952100000.00;3250700000.00;19186600000.00;9430714532.69;17.21;43.86;3250700000.00;0.34;4456399872.00;20156300000.00;6017200000.00;622700000.00;804900000.00;18417900000.00;539800000.00;24612700000.00;A+
LDO IM Equity;LEONARDO SPA;637000000.00;18697000000.00;18248000000.00;33787108289.83;31.21;15.34;18697000000.00;1.82;10120999936.00;22575000000.00;4500000000.00;1517000000.00;2271000000.00;17758000000.00;1049000000.00;32696000000.00;BBB
